num_filters,kernel_size,dense_units,dropout_rate,epochs,batch_size,learning_rate,classification_threshold,f1_score
64,5,32,0.5,20,32,0.0005,0.7,0.7159090909090908
256,3,64,0.5,20,32,0.0005,0.6,0.7058823529411765
512,3,64,0.7,20,64,0.0005,0.6,0.6994535519125684
512,3,64,0.7,20,32,0.0005,0.5,0.6966292134831461
128,3,32,0.5,20,16,0.0005,0.7,0.6956521739130436
64,5,32,0.5,20,16,0.0005,0.6,0.6931818181818181
512,3,64,0.7,20,64,0.0005,0.7,0.6927374301675977
128,5,32,0.3,20,16,0.0005,0.6,0.6927374301675977
256,3,32,0.7,20,32,0.0005,0.6,0.6909090909090909
256,3,32,0.3,20,16,0.0005,0.7,0.689655172413793
